episode,reward,avg_loss,epsilon
0,-138,0.1708900298,1
1,-48,0.0097156126,0.9057890439
2,-90,0.0211686525,0.8205434455
3,0,0.0016067115,0.7434100385
4,18,0.0076080209,0.6736168456
5,60,0.0005886856,0.6104653531
6,-18,0.0019506946,0.5533235197
7,102,0.001370023,0.5016194508
8,156,0.0138166623,0.4548356745
9,192,0.0056829693,0.4125039631
10,108,0.0024020056,0.3742006468
11,150,0.0007248157,0.3395423729
12,204,0.0025898779,0.3081822698
13,156,0.0061913251,0.2798064751
14,198,0.0013836246,0.2541309943
15,198,0.0008948318,0.2308988585
16,228,0.0022825793,0.2098775528
17,228,0.0033055456,0.1908566888
18,174,0.0028166274,0.1736458993
19,216,0.0022078604,0.158072933
20,222,0.0023149193,0.1439819304
21,216,0.0002341721,0.131231864
22,240,0.0001986959,0.1196951268
23,246,0.0034042997,0.1092562553
24,258,0.002256225,0.0998107738
25,264,0.0009666752,0.0912641486
26,270,0.0014216772,0.0835308424
27,282,0.0059882244,0.0765334576
28,288,0.0005838895,0.070201962
29,270,0.0154935483,0.0644729879
30,276,0.0001629897,0.0592891977
31,276,0.002668842,0.0545987104
32,276,0.0020755025,0.0503545819
33,282,0.0002831248,0.0465143357
34,294,0.0005813765,0.0430395373
35,288,1.84081230203769E-005,0.0398954096
36,294,0.0012988906,0.0370504852
37,294,0.0014044077,0.0344762912
38,288,0.0007520746,0.0321470641
39,300,0.0033846745,0.0300394923
