episode,reward,max_variation,epsilon
0.0,-84.0,2.6380800000000004,1.0
1.0,-162.0,2.16579072,1.0
2.0,-42.0,2.6469888000000004,0.9057890438555999
3.0,-24.0,2.6601984000000005,0.820543445547202
4.0,-18.0,0.40911793782521855,0.7434100384749007
5.0,6.0,2.1926400000000004,0.6736168455752829
6.0,54.0,2.133338708841663,0.6104653531155071
7.0,54.0,0.4230465035245592,0.5533235197330861
8.0,126.0,0.16605324518877485,0.5016194507534953
9.0,126.0,0.0811429831211794,0.45483567447604933
10.0,150.0,0.06682134999122802,0.4125039631431931
11.0,186.0,0.01622869133203908,0.3742006467597279
12.0,156.0,0.13319312897488,0.3395423728610988
13.0,168.0,0.014793544758994859,0.30818226979308
14.0,198.0,0.0029337662543258425,0.27980647510367246
15.0,192.0,0.0005867532508752049,0.2541309943021904
