episode,reward,max_variation,epsilon
0,-132,2.66191872,1
1,-54,2.6503309394,1
2,-36,2.6087541473,0.9057890439
3,-48,2.611968,0.8205434455
4,-6,2.4,0.7434100385
5,60,0.7429568528,0.6736168456
6,66,0.5240148019,0.6104653531
7,36,0.5222461879,0.5533235197
8,78,0.5200536579,0.5016194508
9,162,0.5221304161,0.4548356745
10,162,0.5240602114,0.4125039631
11,108,0.5065209556,0.3742006468
12,174,0.5262930146,0.3395423729
13,174,0.5181888813,0.3081822698
14,222,0.5286853172,0.2798064751
15,192,0.5206226913,0.2541309943
16,174,0.5094333567,0.2308988585
17,204,0.5290393641,0.2098775528
18,252,0.487464325,0.1908566888
19,240,0.4848212475,0.1736458993
20,204,0.5190169288,0.158072933
21,246,0.5199272681,0.1439819304
22,246,0.4835206942,0.131231864
23,258,0.4799742774,0.1196951268
24,264,0.5160380482,0.1092562553
25,264,0.4858091754,0.0998107738
26,258,0.5193184846,0.0912641486
27,276,0.4822701715,0.0835308424
28,270,0.484705071,0.0765334576
29,282,0.5183221556,0.070201962
30,270,0.5221546104,0.0644729879
31,288,0.4839780306,0.0592891977
32,264,0.4915458542,0.0545987104
33,282,0.4801460714,0.0503545819
34,282,0.4835875899,0.0465143357
35,288,0.4825607662,0.0430395373
36,288,0.4885314973,0.0398954096
37,264,0.4875107793,0.0370504852
38,294,0.4800275138,0.0344762912
39,282,0.4811299319,0.0321470641
40,282,0.4921793939,0.0300394923
41,294,0.4656933773,0.0281324825
42,294,0.4815548363,0.0264069486
43,300,0.077044296,0.0248456211
